	clean_tweet	class
0	 woman complain clean hous amp man alway take trash 	2
1	 boy dat cold tyga dwn bad cuffin dat hoe st place 	1
2	 dawg rt sbabylif ever fuck bitch start cri confus shit	1
3	 look like tranni	1
4	 shit hear might true might faker bitch told ya # 	1
5	 shit blow claim faith somebodi still fuck hoe # # # 	1
6	 brighterday sit hate anoth bitch got much shit go 	1
7	 # caus tire big bitch come us skinni girl # 	1
8	 amp might get ya bitch back amp that 	1
9	 hobbi includ fight mariam bitch	1
10	 keek bitch curv everyon lol walk convers like smh	1
11	 murda gang bitch gang land 	1
12	 hoe smoke loser yea go ig	1
13	 bad bitch thing like 	1
14	 bitch get 	1
15	 bitch nigga miss 	1
16	 bitch plz whatev 	1
17	 bitch love 	1
18	 bitch get cut everyday b 	1
19	 black bottl amp bad bitch 	1
20	 broke bitch cant tell noth 	1
21	 cancel bitch like nino 	1
22	 cant see hoe wont chang 	1
23	 fuck bitch dont even suck dick # # # kermit video bout fuck ig	1
24	 got ya bitch tip toe hardwood floor # 	1
25	 pussi lip like heaven door # 	1
26	 hoe hit 	1
27	 met pussi ocean dr gave pussi pill # 	1
28	 need trippi bitch fuck hennessi 	1
29	 spend money want bitch busi 	1
30	 txt old bitch new bitch pussi wetter 	1
31	 say im back old old bitch would get excit # 	1
32	 aint bout murder game pussi nigga shut 	1
33	 toe done pussi stink 	1
34	 im done bitter bitch wrap angri bird there app 	1
35	 ya bitch 	1
36	 aint noth cut bitch 	1
37	 ju meet son ya mane ass bitch #shots	1
38	 lame cri hoe that tear clown 	1
39	 like snoop said  dont love hoe 	1
40	 momma said pussi cat insid doghous 	2
41	 hate hoe favorit #mw #sevenone # 	1
42	 nice girl bad make get naughti bad yello hoe real nice bodi south chick like em real thick 	1
43	 pimp pimp hoe futur voic	1
44	 post pictur pussi get  like 	1
45	 pussi power drug # #happyhumpday 	1
46	 quick piec pussi call drive 	1
47	 run round like brand new pussi that bout get fuck 	1
48	 bitch even worst send guy 	1
49	 hoe like nigga spend money talk bout 	1
50	 dont trust nigga bitch 	1
51	 yall nigga b cuf hoe caus yall aint never bitch 	1
52	 dodg bullet # # da bitch cut pregnant bound thank god # # 	1
53	 young pill chamberlain bitch love music 	1
54	 # # # # # # # # # # # teanna trump probabl cleaner twitter hoe 	1
55	 # # # # # # # # # # gay nigga wait act like bitch tonight 	1
56	 # # # ima steal cat n replac pitbul # # # # rt sbabylif bitch 	1
57	 amp gone alway hoe 	1
58	 son bitch took tic tac like movi 	1
59	 wanna get money fuck model bitch russel simmon	1
60	 seniorprob probabl # mind school much # deal bitch ass teacher retweet	1
